Sala: 101 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 308 , Prédio: CAB , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , Fisiologia Humana , , , , 
13:10:00 - 14:00:00 , , , Fisiologia Humana , , , 
14:00:00 - 14:50:00 , , , Genômica E Proteômica , , , 
14:50:00 - 15:40:00 , , , Genômica E Proteômica , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 309 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , Prática De Ensino Orientada 
14:50:00 - 15:40:00 , , , , , , Prática De Ensino Orientada 
16:00:00 - 16:50:00 , , , , , , Prática De Ensino Orientada 
16:50:00 - 17:40:00 , , , , , , Prática De Ensino Orientada 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , Prática De Ensino Orientada 
19:35:00 - 20:20:00 , , , , , , Prática De Ensino Orientada 
20:30:00 - 21:15:00 , , , , , , Prática De Ensino Orientada 
21:15:00 - 22:00:00 , , , , , , Prática De Ensino Orientada 
Sala: 310 , Prédio: CAB , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 301 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 302-Lab. , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , Bacteriologia Humana , Bacteriologia Humana , Biologia Parasitária , Virologia Em Saúde , Gestão E Empreendedorismo Em Biotecnologia 
08:50:00 - 09:40:00 , , Bacteriologia Humana , Bacteriologia Humana , Biologia Parasitária , Virologia Em Saúde , Gestão E Empreendedorismo Em Biotecnologia 
10:00:00 - 10:50:00 , , Química Ambiental Aplicada À Farmácia , Biotecnologia Aplicada À Microbiologia , Virologia Em Saúde , Virologia Em Saúde , Biotecnologia Aplicada À Microbiologia 
10:50:00 - 11:40:00 , , Química Ambiental Aplicada À Farmácia , Gestão E Empreendedorismo Em Biotecnologia , Virologia Em Saúde , Virologia Em Saúde , Biotecnologia Aplicada À Microbiologia 
11:40:00 - 12:30:00 , , Métodos Matemáticos Lineares , Toxicologia Geral , , , Biotecnologia Aplicada À Microbiologia 
13:10:00 - 14:00:00 , , , Patologia Geral , , , 
14:00:00 - 14:50:00 , , Educação Nutricional I , Patologia Geral , Virologia Em Saúde , Bacteriologia Humana , Métodos Analíticos Em Biomedicina 
14:50:00 - 15:40:00 , , Educação Nutricional I , Imunologia Básica , Virologia Em Saúde , Bacteriologia Humana , Métodos Analíticos Em Biomedicina 
16:00:00 - 16:50:00 , , Educação Nutricional I , Epidemiologia , Genética , Genética , Métodos Analíticos Em Biomedicina 
16:50:00 - 17:40:00 , , Educação Nutricional I , Epidemiologia , Imunologia Básica , Epidemiologia , Métodos Analíticos Em Biomedicina 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , Sistemas Estruturais Na Arquitetura Ii , Imunologia Básica , , Imunologia Básica , 
18:50:00 - 19:35:00 , , Fundamentos Filosófico E Sócio-Histór. Da Educação , Salvaguarda Patrim. Ii - Cons Prev Segurança , Espaços Museais E Arquitetura De Museus , Trabalho De Conclusão De Curso I , Fundamentos Filosófico E Sócio-Histór. Da Educação 
19:35:00 - 20:20:00 , , Fundamentos Filosófico E Sócio-Histór. Da Educação , Salvaguarda Patrim. Ii - Cons Prev Segurança , Espaços Museais E Arquitetura De Museus , Trabalho De Conclusão De Curso I , Fundamentos Filosófico E Sócio-Histór. Da Educação 
20:30:00 - 21:15:00 , , Fundamentos Filosófico E Sócio-Histór. Da Educação , Salvaguarda Patrim. Ii - Cons Prev Segurança , Espaços Museais E Arquitetura De Museus , Trabalho De Conclusão De Curso I , Fundamentos Filosófico E Sócio-Histór. Da Educação 
21:15:00 - 22:00:00 , , Fundamentos Filosófico E Sócio-Histór. Da Educação , Salvaguarda Patrim. Ii - Cons Prev Segurança , Espaços Museais E Arquitetura De Museus , Trabalho De Conclusão De Curso I , Fundamentos Filosófico E Sócio-Histór. Da Educação 
Sala: 303 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , Saúde Do Adulto E Do Idoso - Sistema Urinário , Método Clínico Iii , Saúde Do Adulto E Do Idoso - Sistema Urinário , Método Clínico Iii 
08:00:00 - 08:50:00 , , Bacteriologia Humana , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Bacteriologia Humana , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Método Clínico Iii 
08:50:00 - 09:40:00 , , Bacteriologia Humana , Química Ambiental Aplicada À Farmácia , Bacteriologia Humana , Química Orgânica , Corpo Humano Saudável I 
10:00:00 - 10:50:00 , , , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Determinantes Biológicos No Processo Saúde - Doença I 
10:50:00 - 11:40:00 , , , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Corpo Humano Saudável I 
11:40:00 - 12:30:00 , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Química Ambiental Aplicada À Farmácia 
13:10:00 - 14:00:00 , , , , , , Atenção Integral À Saúde Da Mulher E Da Criança I 
14:00:00 - 14:50:00 , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Corpo Humano Saudável I 
14:50:00 - 15:40:00 , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Corpo Humano Saudável I 
16:00:00 - 16:50:00 , , Bases Da Biotecnologia , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Corpo Humano Saudável I 
16:50:00 - 17:40:00 , , Bases Da Biotecnologia , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Sistema Urinário 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , Assessoria E Consultoria Em Comunicação , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 304 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , Tópicos Especiais Em Psicopatologia , , 
08:00:00 - 08:50:00 , , Geografia Agrária I , Planejamento E Controle De Obras , Tópicos Especiais Em Psicopatologia , Química Ambiental Aplicada À Farmácia , Fundamentos Teórico-Práticos Do Sistema Único De Saúde 
08:50:00 - 09:40:00 , , Introdução Aos Estudos Sobre Envelhecimento , Planejamento E Controle De Obras , Tópicos Especiais Em Psicopatologia , Química Ambiental Aplicada À Farmácia , Fundamentos Teórico-Práticos Do Sistema Único De Saúde 
10:00:00 - 10:50:00 , , Introdução Aos Estudos Sobre Envelhecimento , Nutrição Materno-Infantil E Do Adolescente Ii , Tópicos Especiais Em Psicopatologia , Bacteriologia Humana , Fundamentos Teórico-Práticos Do Sistema Único De Saúde 
10:50:00 - 11:40:00 , , Geografia Agrária I , Nutrição Materno-Infantil E Do Adolescente Ii , Teorias Da Arquitetura , Geografia Agrária I , Fundamentos Teórico-Práticos Do Sistema Único De Saúde 
11:40:00 - 12:30:00 , , Química Ambiental Aplicada À Farmácia , , Métodos Matemáticos Lineares , , 
13:10:00 - 14:00:00 , , , , , Bacteriologia Humana , Educação Nutricional I 
14:00:00 - 14:50:00 , , Educação Nutricional Ii , Biologia Parasitária , Educação Nutricional Ii , Imunologia Básica , Psicologia Da Educação Ii 
14:50:00 - 15:40:00 , , Educação Nutricional Ii , Biologia Parasitária , Educação Nutricional Ii , Imunologia Básica , Psicologia Da Educação Ii 
16:00:00 - 16:50:00 , , Educação Nutricional Ii , Imunologia Básica , Epidemiologia , Bacteriologia Humana , Epidemiologia 
16:50:00 - 17:40:00 , , Educação Nutricional Ii , Imunologia Básica , Epidemiologia , Imunologia Básica , Epidemiologia 
17:40:00 - 18:30:00 , , , , , Educação Nutricional I , 
18:05:00 - 18:50:00 , , Teorias Da Arquitetura , Teorias Da Arquitetura , Imunologia Básica , Tópicos Especiais Em Teoria E Estética Da Arquitetura E Da Arte , Imunologia Básica 
18:50:00 - 19:35:00 , , Tópicos Em Geologia 1 , Teorias Da Arquitetura , A Morte E O Morrer Em Debate: Temas Atuais , Fundamentos Da Educação No Cinema , Imunologia Básica 
19:35:00 - 20:20:00 , , Tópicos Em Geologia 1 , Imunologia Básica , A Morte E O Morrer Em Debate: Temas Atuais , Fundamentos Da Educação No Cinema , Imunologia Básica 
20:30:00 - 21:15:00 , , Tópicos Em Geologia 1 , Imunologia Básica , A Morte E O Morrer Em Debate: Temas Atuais , Fundamentos Da Educação No Cinema , Imunologia Básica 
21:15:00 - 22:00:00 , , Tópicos Em Geologia 1 , , A Morte E O Morrer Em Debate: Temas Atuais , Fundamentos Da Educação No Cinema , 
Sala: 305 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , Parasitologia Veterinária , Parasitologia Veterinária , Parasitologia Veterinária , Bacteriologia Humana , Bacteriologia Humana 
08:50:00 - 09:40:00 , , Parasitologia Veterinária , Parasitologia Veterinária , Parasitologia Veterinária , Bacteriologia Humana , Bacteriologia Humana 
10:00:00 - 10:50:00 , , Biologia Molecular , Parasitologia Veterinária , Sistemas De Controle , Farmacologia I , Biologia Molecular 
10:50:00 - 11:40:00 , , Biologia Molecular , Imunologia , Determinantes Biológicos No Processo Saúde - Doença I , Farmacologia I , Biologia Molecular 
11:40:00 - 12:30:00 , , , , , Farmacologia I , 
13:10:00 - 14:00:00 , , Método Clínico Iii , Bacteriologia Humana , Determinantes Biológicos No Processo Saúde - Doença I , , 
14:00:00 - 14:50:00 , , Método Clínico Iii , Determinantes Biológicos No Processo Saúde - Doença I , Determinantes Biológicos No Processo Saúde - Doença I , Patologia Geral , 
14:50:00 - 15:40:00 , , Método Clínico Iii , Determinantes Biológicos No Processo Saúde - Doença I , Determinantes Biológicos No Processo Saúde - Doença I , Patologia Geral , 
16:00:00 - 16:50:00 , , Saúde, Família E Comunidade Iii , Determinantes Biológicos No Processo Saúde - Doença I , Determinantes Biológicos No Processo Saúde - Doença I , Patologia Geral , 
16:50:00 - 17:40:00 , , Saúde, Família E Comunidade Iii , Determinantes Biológicos No Processo Saúde - Doença I , Determinantes Biológicos No Processo Saúde - Doença I , Química Geral B , 
17:40:00 - 18:30:00 , , , Química Geral B , , Química Geral B , 
18:05:00 - 18:50:00 , , , Monografia Jurídica I (Projeto) , , , 
18:50:00 - 19:35:00 , , , Monografia Jurídica I (Projeto) , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 306 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , Imunologia Básica , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , Saúde, Família E Comunidade Iii , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 307 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , Microbiologia 
08:50:00 - 09:40:00 , , , , , , Microbiologia 
10:00:00 - 10:50:00 , , Parasitologia Veterinária , , Parasitologia Veterinária , , Microbiologia 
10:50:00 - 11:40:00 , , Parasitologia Veterinária , , Parasitologia Veterinária , , 
11:40:00 - 12:30:00 , , Parasitologia Veterinária , , Parasitologia Veterinária , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , Físico-Química , , Microbiologia , , 
14:50:00 - 15:40:00 , , Físico-Química , , Microbiologia , , 
16:00:00 - 16:50:00 , , , Microbiologia , Microbiologia , , 
16:50:00 - 17:40:00 , , , Microbiologia , Microbiologia , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 308 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: Lab. , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 310 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 101 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 208 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 105 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 106 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , Farmacologia Aplicada A Enfermagem , , , , 
14:50:00 - 15:40:00 , , Farmacologia Aplicada A Enfermagem , , , , 
16:00:00 - 16:50:00 , , Farmacologia Aplicada A Enfermagem , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 107 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 108 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 109 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 110 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , Química Orgânica , , , 
14:00:00 - 14:50:00 , , , , Promoção Da Saúde I , , 
14:50:00 - 15:40:00 , , , , Promoção Da Saúde I , , 
16:00:00 - 16:50:00 , , , , Promoção Da Saúde I , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , Dibujo Del Paisaje Urbano , , , , 
18:50:00 - 19:35:00 , , Dibujo Del Paisaje Urbano , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 201 , Prédio: CAD , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
